num,timestamp,time_diff,packet_size,packet_direct,tcp_seq,tcp_size,tcp_ack,nvme_packet_type,nvme_packet_pdo,nvme_packet_plen,nvme_cid,nvme_opc,remain_data
0,1732679020.4008179,-1.0,76,0,3843669363,0,0,-1,-1,-1,-1,-1,0
1,1732679020.4008753,5.745887756347656e-05,76,1,2910131894,0,3843669364,-1,-1,-1,-1,-1,0
2,1732679020.4031117,0.0022363662719726562,68,0,3843669364,0,2910131895,-1,-1,-1,-1,-1,0
3,1732679020.403112,2.384185791015625e-07,196,0,3843669364,128,2910131895,0,0,128,-1,-1,0
4,1732679020.4031825,7.05718994140625e-05,68,1,2910131895,0,3843669492,-1,-1,-1,-1,-1,0
5,1732679020.403322,0.00013947486877441406,196,1,2910131895,128,3843669492,1,0,128,-1,-1,0
6,1732679020.4052231,0.0019011497497558594,68,0,3843669492,0,2910132023,-1,-1,-1,-1,-1,0
7,1732679020.4052234,2.384185791015625e-07,1164,0,3843669492,1096,2910132023,4,72,1096,-1,-1,0
8,1732679020.40536,0.0001366138458251953,92,1,2910132023,24,3843670588,5,0,24,0,-1,0
9,1732679020.407009,0.0016489028930664062,140,0,3843670588,72,2910132047,4,0,72,-1,-1,0
10,1732679020.4070945,8.559226989746094e-05,92,1,2910132047,24,3843670660,5,0,24,1,-1,0
11,1732679020.4086964,0.0016019344329833984,140,0,3843670660,72,2910132071,4,0,72,-1,-1,0
12,1732679020.4087608,6.437301635742188e-05,92,1,2910132071,24,3843670732,5,0,24,4096,-1,0
13,1732679020.4104612,0.0017004013061523438,140,0,3843670732,72,2910132095,4,0,72,-1,-1,0
14,1732679020.4105442,8.296966552734375e-05,92,1,2910132095,24,3843670804,5,0,24,4097,-1,0
15,1732679020.4122329,0.0016887187957763672,140,0,3843670804,72,2910132119,4,0,72,-1,-1,0
16,1732679020.4123151,8.225440979003906e-05,92,1,2910132119,24,3843670876,5,0,24,8192,-1,0
17,1732679020.4140828,0.0017676353454589844,140,0,3843670876,72,2910132143,4,0,72,-1,-1,0
18,1732679020.4141676,8.487701416015625e-05,92,1,2910132143,24,3843670948,5,0,24,8193,-1,0
19,1732679020.4158046,0.0016369819641113281,140,0,3843670948,72,2910132167,4,0,72,-1,-1,0
20,1732679020.4158874,8.273124694824219e-05,92,1,2910132167,24,3843671020,5,0,24,12288,-1,0
21,1732679020.4174762,0.0015888214111328125,140,0,3843671020,72,2910132191,4,0,72,-1,-1,0
22,1732679020.4175591,8.296966552734375e-05,92,1,2910132191,24,3843671092,5,0,24,12289,-1,0
23,1732679020.4190588,0.0014996528625488281,140,0,3843671092,72,2910132215,4,0,72,6,6,0
24,1732679020.4191551,9.632110595703125e-05,1516,1,2910132215,1448,3843671164,-1,-1,-1,-1,-1,0
25,1732679020.4191911,3.600120544433594e-05,1516,1,2910133663,1448,3843671164,-1,-1,-1,-1,-1,0
26,1732679020.4192183,2.7179718017578125e-05,1316,1,2910135111,1248,3843671164,7,24,4120,6,-1,1
26,1732679020.4192183,0.0,1316,1,2910135111,1248,3843671164,5,0,24,6,-1,0
27,1732679020.4230535,0.0038352012634277344,68,0,3843671164,0,2910135111,-1,-1,-1,-1,-1,0
28,1732679020.4242296,0.0011761188507080078,140,0,3843671164,72,2910136359,4,0,72,7,9,0
29,1732679020.4243152,8.559226989746094e-05,92,1,2910136359,24,3843671236,5,0,24,7,-1,0
30,1732679020.4261165,0.0018012523651123047,140,0,3843671236,72,2910136383,4,0,72,31,12,0
31,1732679020.4261167,2.384185791015625e-07,140,0,3843671308,72,2910136383,4,0,72,8,6,0
32,1732679020.4262009,8.416175842285156e-05,68,1,2910136383,0,3843671380,-1,-1,-1,-1,-1,0
33,1732679020.4262836,8.273124694824219e-05,1516,1,2910136383,1448,3843671380,-1,-1,-1,-1,-1,0
34,1732679020.4263003,1.6689300537109375e-05,1516,1,2910137831,1448,3843671380,-1,-1,-1,-1,-1,0
35,1732679020.4263227,2.2411346435546875e-05,1316,1,2910139279,1248,3843671380,7,24,4120,8,-1,1
35,1732679020.4263227,0.0,1316,1,2910139279,1248,3843671380,5,0,24,8,-1,0
36,1732679020.4280615,0.0017387866973876953,140,0,3843671380,72,2910136383,4,0,72,10,6,0
37,1732679020.4281611,9.965896606445312e-05,1516,1,2910140527,1448,3843671452,-1,-1,-1,-1,-1,0
38,1732679020.4281945,3.337860107421875e-05,1516,1,2910141975,1448,3843671452,-1,-1,-1,-1,-1,0
39,1732679020.428208,1.3589859008789062e-05,1316,1,2910143423,1248,3843671452,7,24,4120,10,-1,1
39,1732679020.428208,0.0,1316,1,2910143423,1248,3843671452,5,0,24,10,-1,0
40,1732679020.4308023,0.0025942325592041016,68,0,3843671452,0,2910139279,-1,-1,-1,-1,-1,0
41,1732679020.4344752,0.0036728382110595703,140,0,3843671452,72,2910140527,4,0,72,9,2,0
42,1732679020.4344754,2.384185791015625e-07,68,0,3843671524,0,2910143423,-1,-1,-1,-1,-1,0
43,1732679020.4345887,0.00011324882507324219,136,1,2910144671,68,3843671524,7,24,44,9,-1,1
43,1732679020.4345887,0.0,136,1,2910144671,68,3843671524,5,0,24,9,-1,0
44,1732679020.436211,0.0016224384307861328,68,0,3843671524,0,2910144739,-1,-1,-1,-1,-1,0
45,1732679020.4362116,4.76837158203125e-07,212,0,3843671524,144,2910144739,4,0,72,22,6,1
45,1732679020.4362116,0.0,212,0,3843671524,144,2910144739,4,0,72,26,2,0
46,1732679020.4363368,0.0001251697540283203,1516,1,2910144739,1448,3843671668,-1,-1,-1,-1,-1,0
47,1732679020.4363797,4.291534423828125e-05,1516,1,2910146187,1448,3843671668,-1,-1,-1,-1,-1,0
48,1732679020.436415,3.528594970703125e-05,1516,1,2910147635,1448,3843671668,7,24,4120,22,-1,1
48,1732679020.436415,0.0,1516,1,2910147635,1448,3843671668,5,0,24,22,-1,0
49,1732679020.4364269,1.1920928955078125e-05,1516,1,2910149083,1448,3843671668,-1,-1,-1,-1,-1,0
50,1732679020.436437,1.0013580322265625e-05,516,1,2910150531,448,3843671668,7,24,2072,26,-1,1
50,1732679020.436437,0.0,516,1,2910150531,448,3843671668,5,0,24,26,-1,0
51,1732679020.4401348,0.0036978721618652344,68,0,3843671668,0,2910147635,-1,-1,-1,-1,-1,0
52,1732679020.4401772,4.2438507080078125e-05,140,0,3843671668,72,2910149083,4,0,72,23,2,0
53,1732679020.4402468,6.961822509765625e-05,92,1,2910150979,24,3843671740,5,0,24,23,-1,0
54,1732679020.4419293,0.0016825199127197266,68,0,3843671740,0,2910150979,-1,-1,-1,-1,-1,0
55,1732679020.4419296,2.384185791015625e-07,140,0,3843671740,72,2910150979,4,0,72,24,2,0
56,1732679020.4420636,0.00013399124145507812,136,1,2910151003,68,3843671812,7,24,44,24,-1,1
56,1732679020.4420636,0.0,136,1,2910151003,68,3843671812,5,0,24,24,-1,0
57,1732679020.4436946,0.001631021499633789,68,0,3843671812,0,2910151071,-1,-1,-1,-1,-1,0
58,1732679020.4646287,0.020934104919433594,140,0,3843671812,72,2910151071,4,0,72,-1,-1,0
59,1732679020.4647093,8.058547973632812e-05,92,1,2910151071,24,3843671884,5,0,24,16384,-1,0
60,1732679020.4665709,0.001861572265625,140,0,3843671884,72,2910151095,4,0,72,-1,-1,0
61,1732679020.466654,8.320808410644531e-05,92,1,2910151095,24,3843671956,5,0,24,16385,-1,0
62,1732679020.4729414,0.006287336349487305,68,0,3843671956,0,2910151119,-1,-1,-1,-1,-1,0
63,1732679020.4729416,2.384185791015625e-07,68,0,3843671957,0,2910151119,-1,-1,-1,-1,-1,0
64,1732679020.4955926,0.022650957107543945,76,0,793688627,0,0,-1,-1,-1,-1,-1,0
65,1732679020.4956331,4.0531158447265625e-05,76,1,594279181,0,793688628,-1,-1,-1,-1,-1,0
66,1732679020.4973705,0.001737356185913086,68,0,793688628,0,594279182,-1,-1,-1,-1,-1,0
67,1732679020.4973707,2.384185791015625e-07,196,0,793688628,128,594279182,0,0,128,-1,-1,0
68,1732679020.4974408,7.009506225585938e-05,68,1,594279182,0,793688756,-1,-1,-1,-1,-1,0
69,1732679020.497576,0.00013518333435058594,196,1,594279182,128,793688756,1,0,128,-1,-1,0
70,1732679020.4994931,0.001917123794555664,68,0,793688756,0,594279310,-1,-1,-1,-1,-1,0
71,1732679020.4994936,4.76837158203125e-07,1164,0,793688756,1096,594279310,4,72,1096,-1,-1,0
72,1732679020.499632,0.00013828277587890625,92,1,594279310,24,793689852,5,0,24,0,-1,0
73,1732679020.501099,0.0014672279357910156,140,0,793689852,72,594279334,4,0,72,-1,-1,0
74,1732679020.501178,7.891654968261719e-05,92,1,594279334,24,793689924,5,0,24,1,-1,0
75,1732679020.5030944,0.0019164085388183594,140,0,793689924,72,594279358,4,0,72,-1,-1,0
76,1732679020.5031617,6.723403930664062e-05,92,1,594279358,24,793689996,5,0,24,4096,-1,0
77,1732679020.5047162,0.0015544891357421875,140,0,793689996,72,594279382,4,0,72,-1,-1,0
78,1732679020.504799,8.273124694824219e-05,92,1,594279382,24,793690068,5,0,24,4097,-1,0
79,1732679020.506114,0.0013151168823242188,140,0,793690068,72,594279406,4,0,72,-1,-1,0
80,1732679020.5061777,6.365776062011719e-05,92,1,594279406,24,793690140,5,0,24,8192,-1,0
81,1732679020.507728,0.001550436019897461,140,0,793690140,72,594279430,4,0,72,-1,-1,0
82,1732679020.5078123,8.416175842285156e-05,92,1,594279430,24,793690212,5,0,24,8193,-1,0
83,1732679020.5091655,0.0013532638549804688,140,0,793690212,72,594279454,4,0,72,-1,-1,0
84,1732679020.5092456,8.0108642578125e-05,92,1,594279454,24,793690284,5,0,24,12288,-1,0
85,1732679020.5107882,0.0015425682067871094,140,0,793690284,72,594279478,4,0,72,-1,-1,0
86,1732679020.510871,8.273124694824219e-05,92,1,594279478,24,793690356,5,0,24,12289,-1,0
87,1732679020.5123734,0.0015025138854980469,140,0,793690356,72,594279502,4,0,72,18,6,0
88,1732679020.512478,0.00010466575622558594,1516,1,594279502,1448,793690428,-1,-1,-1,-1,-1,0
89,1732679020.5125165,3.838539123535156e-05,1516,1,594280950,1448,793690428,-1,-1,-1,-1,-1,0
90,1732679020.5125425,2.5987625122070312e-05,1316,1,594282398,1248,793690428,7,24,4120,18,-1,1
90,1732679020.5125425,0.0,1316,1,594282398,1248,793690428,5,0,24,18,-1,0
91,1732679020.5148673,0.002324819564819336,68,0,793690428,0,594282398,-1,-1,-1,-1,-1,0
92,1732679020.515452,0.0005846023559570312,140,0,793690428,72,594283646,4,0,72,19,2,0
93,1732679020.5155568,0.0001049041748046875,1516,1,594283646,1448,793690500,-1,-1,-1,-1,-1,0
94,1732679020.5155945,3.7670135498046875e-05,1516,1,594285094,1448,793690500,-1,-1,-1,-1,-1,0
95,1732679020.5156205,2.5987625122070312e-05,1316,1,594286542,1248,793690500,7,24,4120,19,-1,1
95,1732679020.5156205,0.0,1316,1,594286542,1248,793690500,5,0,24,19,-1,0
96,1732679020.5177872,0.002166748046875,68,0,793690500,0,594286542,-1,-1,-1,-1,-1,0
97,1732679020.5177875,2.384185791015625e-07,140,0,793690500,72,594287790,4,0,72,20,2,0
98,1732679020.517918,0.00013065338134765625,1516,1,594287790,1448,793690572,-1,-1,-1,-1,-1,0
99,1732679020.5179796,6.151199340820312e-05,1516,1,594289238,1448,793690572,-1,-1,-1,-1,-1,0
100,1732679020.5180237,4.410743713378906e-05,1516,1,594290686,1448,793690572,-1,-1,-1,-1,-1,0
101,1732679020.5180404,1.6689300537109375e-05,1516,1,594292134,1448,793690572,-1,-1,-1,-1,-1,0
102,1732679020.518056,1.5497207641601562e-05,1516,1,594293582,1448,793690572,-1,-1,-1,-1,-1,0
103,1732679020.518068,1.2159347534179688e-05,1084,1,594295030,1016,793690572,7,24,8232,20,-1,1
103,1732679020.518068,0.0,1084,1,594295030,1016,793690572,5,0,24,20,-1,0
104,1732679020.520094,0.0020258426666259766,68,0,793690572,0,594290686,-1,-1,-1,-1,-1,0
105,1732679020.52155,0.0014560222625732422,68,0,793690572,0,594293582,-1,-1,-1,-1,-1,0
106,1732679020.522076,0.0005259513854980469,68,0,793690572,0,594296046,-1,-1,-1,-1,-1,0
107,1732679020.522076,0.0,140,0,793690572,72,594296046,4,0,72,21,2,0
108,1732679020.5221746,9.870529174804688e-05,628,1,594296046,560,793690644,7,24,536,21,-1,1
108,1732679020.5221746,0.0,628,1,594296046,560,793690644,5,0,24,21,-1,0
109,1732679020.5239189,0.0017442703247070312,140,0,793690644,72,594296606,4,0,72,4114,9,0
110,1732679020.524026,0.00010704994201660156,92,1,594296606,24,793690716,5,0,24,4114,-1,0
111,1732679020.5256417,0.001615762710571289,76,0,3847802753,0,0,-1,-1,-1,-1,-1,0
112,1732679020.525682,4.029273986816406e-05,76,1,1329099815,0,3847802754,-1,-1,-1,-1,-1,0
113,1732679020.5272095,0.001527547836303711,68,0,3847802754,0,1329099816,-1,-1,-1,-1,-1,0
114,1732679020.52721,4.76837158203125e-07,196,0,3847802754,128,1329099816,0,0,128,-1,-1,0
115,1732679020.52728,7.009506225585938e-05,68,1,1329099816,0,3847802882,-1,-1,-1,-1,-1,0
116,1732679020.5274189,0.00013875961303710938,196,1,1329099816,128,3847802882,1,0,128,-1,-1,0
117,1732679020.5289931,0.0015742778778076172,68,0,3847802882,0,1329099944,-1,-1,-1,-1,-1,0
118,1732679020.5289934,2.384185791015625e-07,76,0,3953252734,0,0,-1,-1,-1,-1,-1,0
119,1732679020.5290394,4.601478576660156e-05,76,1,1487854017,0,3953252735,-1,-1,-1,-1,-1,0
120,1732679020.5304267,0.0013873577117919922,68,0,3953252735,0,1487854018,-1,-1,-1,-1,-1,0
121,1732679020.5304272,4.76837158203125e-07,196,0,3953252735,128,1487854018,0,0,128,-1,-1,0
122,1732679020.530484,5.6743621826171875e-05,68,1,1487854018,0,3953252863,-1,-1,-1,-1,-1,0
123,1732679020.5306077,0.00012373924255371094,196,1,1487854018,128,3953252863,1,0,128,-1,-1,0
124,1732679020.5320797,0.0014719963073730469,76,0,2743246518,0,0,-1,-1,-1,-1,-1,0
125,1732679020.5320797,0.0,68,0,3953252863,0,1487854146,-1,-1,-1,-1,-1,0
126,1732679020.532117,3.719329833984375e-05,76,1,2319451547,0,2743246519,-1,-1,-1,-1,-1,0
127,1732679020.5337276,0.0016107559204101562,68,0,2743246519,0,2319451548,-1,-1,-1,-1,-1,0
128,1732679020.533728,2.384185791015625e-07,196,0,2743246519,128,2319451548,0,0,128,-1,-1,0
129,1732679020.5337868,5.888938903808594e-05,68,1,2319451548,0,2743246647,-1,-1,-1,-1,-1,0
130,1732679020.5339088,0.0001220703125,196,1,2319451548,128,2743246647,1,0,128,-1,-1,0
131,1732679020.5358317,0.0019228458404541016,68,0,2743246647,0,2319451676,-1,-1,-1,-1,-1,0
132,1732679020.535832,2.384185791015625e-07,76,0,518254200,0,0,-1,-1,-1,-1,-1,0
133,1732679020.535875,4.315376281738281e-05,76,1,4155632560,0,518254201,-1,-1,-1,-1,-1,0
134,1732679020.5374942,0.001619100570678711,68,0,518254201,0,4155632561,-1,-1,-1,-1,-1,0
135,1732679020.5374944,2.384185791015625e-07,196,0,518254201,128,4155632561,0,0,128,-1,-1,0
136,1732679020.5375516,5.7220458984375e-05,68,1,4155632561,0,518254329,-1,-1,-1,-1,-1,0
137,1732679020.5376732,0.00012159347534179688,196,1,4155632561,128,518254329,1,0,128,-1,-1,0
138,1732679020.5396135,0.0019402503967285156,68,0,518254329,0,4155632689,-1,-1,-1,-1,-1,0
139,1732679020.539614,4.76837158203125e-07,1164,0,3847802882,1096,1329099944,4,72,1096,-1,-1,0
140,1732679020.5397944,0.0001804828643798828,92,1,1329099944,24,3847803978,5,0,24,0,-1,0
141,1732679020.5414226,0.0016281604766845703,1164,0,3953252863,1096,1487854146,4,72,1096,-1,-1,0
142,1732679020.5415878,0.0001652240753173828,92,1,1487854146,24,3953253959,5,0,24,0,-1,0
