packet_size,,,tcp_seq,tcp_size,tcp_ack,nvme_packet_type,nvme_packet_pdo,nvme_packet_plen,nvme_cid,nvme_opc,remain_data
196,3.0200000367130997e-07,0,3843669364,128,2910131895,0,0,128,-1,-1,-1
196,0.00013963099999614315,1,2910131895,128,3843669492,1,0,128,-1,-1,-1
1164,2.219999970520803e-07,0,3843669492,1096,2910132023,4,72,1096,-1,-1,-1
92,0.00013672400000075413,1,2910132023,24,3843670588,5,0,24,0,-1,-1
140,0.0016486330000020644,0,3843670588,72,2910132047,4,0,72,-1,-1,-1
92,8.553799999333478e-05,1,2910132047,24,3843670660,5,0,24,1,-1,-1
140,0.0016021650000084264,0,3843670660,72,2910132071,4,0,72,-1,-1,-1
92,6.430199999840625e-05,1,2910132071,24,3843670732,5,0,24,4096,-1,-1
140,0.0017006169999973508,0,3843670732,72,2910132095,4,0,72,-1,-1,-1
92,8.281300000589908e-05,1,2910132095,24,3843670804,5,0,24,4097,-1,-1
140,0.0016887350000018841,0,3843670804,72,2910132119,4,0,72,-1,-1,-1
92,8.225699998831715e-05,1,2910132119,24,3843670876,5,0,24,8192,-1,-1
140,0.00176777500000469,0,3843670876,72,2910132143,4,0,72,-1,-1,-1
92,8.481000000415406e-05,1,2910132143,24,3843670948,5,0,24,8193,-1,-1
140,0.0016368929999970305,0,3843670948,72,2910132167,4,0,72,-1,-1,-1
92,8.280400000160171e-05,1,2910132167,24,3843671020,5,0,24,12288,-1,-1
140,0.001588792999996258,0,3843671020,72,2910132191,4,0,72,-1,-1,-1
92,8.288700000491644e-05,1,2910132191,24,3843671092,5,0,24,12289,-1,-1
140,0.0014996780000018362,0,3843671092,72,2910132215,4,0,72,6,6,-1
1316,2.729099999498885e-05,1,2910135111,1248,3843671164,7,24,4120,6,-1,1
1316,0.0,1,2910135111,1248,3843671164,5,0,24,6,-1,-1
140,0.0011762129999937088,0,3843671164,72,2910136359,4,0,72,7,9,-1
92,8.5667000007561e-05,1,2910136359,24,3843671236,5,0,24,7,-1,-1
140,0.0018009369999987257,0,3843671236,72,2910136383,4,0,72,31,12,-1
140,3.140000046641944e-07,0,3843671308,72,2910136383,4,0,72,8,6,-1
1316,2.269300000534713e-05,1,2910139279,1248,3843671380,7,24,4120,8,-1,1
1316,0.0,1,2910139279,1248,3843671380,5,0,24,8,-1,-1
140,0.001738530999986665,0,3843671380,72,2910136383,4,0,72,10,6,-1
1316,1.3550999995004531e-05,1,2910143423,1248,3843671452,7,24,4120,10,-1,1
1316,0.0,1,2910143423,1248,3843671452,5,0,24,10,-1,-1
140,0.0036728590000052463,0,3843671452,72,2910140527,4,0,72,9,2,-1
136,0.00011322099999233615,1,2910144671,68,3843671524,7,24,44,9,-1,1
136,0.0,1,2910144671,68,3843671524,5,0,24,9,-1,-1
212,2.8899999904297147e-07,0,3843671524,144,2910144739,4,0,72,22,6,1
212,0.0,0,3843671524,144,2910144739,4,0,72,26,2,-1
1516,3.5404000001904024e-05,1,2910147635,1448,3843671668,7,24,4120,22,-1,1
1516,0.0,1,2910147635,1448,3843671668,5,0,24,22,-1,-1
516,1.0239999994610116e-05,1,2910150531,448,3843671668,7,24,2072,26,-1,1
516,0.0,1,2910150531,448,3843671668,5,0,24,26,-1,-1
140,4.2456000002744076e-05,0,3843671668,72,2910149083,4,0,72,23,2,-1
92,6.967400000235102e-05,1,2910150979,24,3843671740,5,0,24,23,-1,-1
140,2.4099999507143366e-07,0,3843671740,72,2910150979,4,0,72,24,2,-1
136,0.0001340440000063836,1,2910151003,68,3843671812,7,24,44,24,-1,1
136,0.0,1,2910151003,68,3843671812,5,0,24,24,-1,-1
140,0.02093397699999855,0,3843671812,72,2910151071,4,0,72,-1,-1,-1
92,8.054699999604509e-05,1,2910151071,24,3843671884,5,0,24,16384,-1,-1
140,0.0018617700000049808,0,3843671884,72,2910151095,4,0,72,-1,-1,-1
